id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
459484,"Moi, moche et méchant",2010-07-09,671,1289,317,3011,116,206,443,1004,2829,7433,12613,7633,2070,706
23068056,Get Out,2017-05-03,715,8502,460,6866,86,143,309,739,1728,4718,11739,11294,3588,829
13489086,Ready Player One,2018-03-28,686,6025,716,8366,195,304,696,1354,2753,5931,10070,8553,3914,1408
461545,L'Auberge espagnole,2002-06-19,668,2294,151,3332,207,331,623,1202,2689,6921,12249,8057,2341,683
382933,Les Petits Mouchoirs,2010-10-20,568,2696,586,3370,986,1293,1974,3113,4852,7661,8296,4871,1715,564
472687,Indiana Jones et le Temple maudit,1984-05-23,716,1656,144,7550,67,105,283,705,2035,5966,13012,9173,2856,1137
8829054,American Sniper,2014-12-25,628,4139,597,5598,296,494,985,2074,4344,8506,10239,6018,1837,574
406523,"Les Simpson, le film",2007-07-25,649,936,152,2428,142,292,610,1476,4304,9682,11662,5531,1283,479
402035,Piège de cristal,1988-07-15,760,3495,201,10634,48,74,164,416,1277,4012,10615,12100,4896,1896
397901,Kirikou et la Sorcière,1998-12-09,706,1169,65,3117,166,191,363,785,2159,5626,11786,9733,3446,1302
488431,Troie,2004-05-13,580,1451,177,4453,431,853,1906,3034,5641,8905,8588,4410,1275,533
434580,Matrix Revolutions,2003-11-05,590,1671,159,4562,554,1063,1827,2994,5525,7955,8014,4966,1800,914
424201,L'Arnacœur,2010-03-17,598,1270,339,2415,276,612,1305,2524,5403,9854,10036,4346,995,281
371695,Seul au monde,2000-12-22,706,3472,144,5638,97,140,302,676,2003,5958,12826,9612,3206,1005
370588,Les Trois Frères,1995-12-13,652,1294,121,3188,266,433,864,1819,3966,8143,10595,6576,2233,944
402567,Prometheus,2012-05-30,561,2685,1010,6806,740,1327,2551,4170,6312,8736,7575,3419,896,271
415709,Man of Steel,2013-06-14,548,1828,946,7076,705,1278,2559,4418,6853,8658,7125,3165,950,327
464143,La Reine des Neiges,2013-11-27,615,1395,500,5954,542,652,1274,2426,4706,8453,9780,5523,1852,833
446853,X-Men,2000-07-13,651,1147,143,7293,125,202,515,1204,3791,9962,13162,5493,1154,462
385437,Iron Man 3,2013-04-24,583,1540,580,6373,362,667,1495,3163,6200,9774,9062,3983,969,467
8277476,Star Wars : Les Derniers Jedi,2017-12-13,610,4111,1004,9863,701,812,1692,2924,4803,7761,9141,5795,1826,726
411899,Mulholland Drive,2001-10-12,766,13563,389,13873,252,359,587,956,1790,3298,7097,10145,7213,4526
430387,Zodiac,2007-03-02,720,6791,240,10156,92,144,317,803,1955,5486,12165,10732,3653,949
484219,Moonrise Kingdom,2012-05-25,759,8099,491,11673,57,95,195,514,1250,3400,9513,12891,6376,2031
439915,12 Years a Slave,2013-11-08,727,9632,490,7968,88,103,263,652,1700,4517,10953,12007,4862,1230
466214,Hancock,2008-07-02,545,1149,170,2180,415,997,2099,4264,7691,10493,7293,2409,501,231
396509,"Maman, j'ai raté l'avion !",1990-11-16,625,1365,103,5056,344,592,1027,2119,4988,9403,10129,5341,1676,820
496108,Thor,2011-04-27,522,1300,526,5062,722,1333,2635,4687,7747,9665,6544,2280,485,347
448933,Dragons,2010-03-26,749,1924,294,7067,50,77,157,349,1260,4003,11108,12707,4978,1799
11082226,Logan,2017-03-01,716,5664,583,11115,103,152,365,846,2104,5490,11242,10944,4192,1089
397793,Dallas Buyers Club,2013-11-01,767,7973,396,8361,40,36,87,192,685,2501,9494,15462,6801,1306
492468,Terminator 2 : Le Jugement dernier,1991-07-03,770,2552,221,16395,91,123,219,496,1417,3784,9234,11921,6602,2949
417884,Spider-Man 3,2007-05-01,539,1007,185,5137,518,1165,2522,4612,8077,9688,6869,2543,585,331
