id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,score,rank,year_release
447001,Les Affranchis,1990-09-12,824,10512,221,15739,48,42,69,171,495,1773,6404,14227,11346,5160,1.0826124341571235,42,1990
481351,Le Seigneur des Anneaux : Le Retour du roi,2003-12-01,807,5258,281,20490,378,363,564,947,2223,5243,14323,25741,22125,17997,1.066538291656279,43,2003
442615,L'Empire contre-attaque,1980-05-21,814,2273,281,23117,150,110,189,433,1316,3769,12285,21620,16514,9496,1.0663152416522297,44,1980
25357970,Parasite,2019-06-05,832,9074,372,10469,29,16,48,91,228,812,3609,10425,10576,3366,1.0599119029057287,45,2019
481802,Psychose,1960-06-16,829,9104,296,15783,41,31,70,152,490,1840,7384,15268,11051,4954,1.0592865743657582,46,1960
804173,Il était une fois en Amérique,1984-05-23,847,12372,222,12267,26,27,58,141,327,1003,3168,6642,6867,5038,1.0446691456101638,47,1984
420119,Gravity,2013-10-04,686,5417,1312,15389,439,782,1620,3091,5835,11341,16241,12872,5517,1782,1.0240865625594913,48,2013
10777058,Whiplash,2014-10-10,806,8752,751,12531,101,102,221,404,1074,2841,9302,19623,15766,5139,1.0239798875570145,49,2014
440893,Il était une fois dans l'Ouest,1968-12-21,846,9133,281,14370,44,28,79,129,420,1337,4940,10535,9778,6034,1.0205838997655057,50,1968
11134569,Premier contact,2016-11-10,762,6797,642,11989,82,101,280,602,1494,3974,9812,14708,7875,2117,1.0144125420419094,51,2016
433183,Eternal Sunshine of the Spotless Mind,2004-03-19,782,10005,404,14428,138,155,367,843,1755,4527,12291,19763,12709,5866,1.0092675922313723,52,2004
370300,Retour vers le futur,1985-07-03,797,5244,333,18989,148,136,321,685,1892,5809,17994,27859,16641,10711,1.006960197531354,53,1985
11103037,Mommy,2014-09-19,792,11726,561,11072,170,190,304,543,1039,2326,6281,11916,11286,6578,1.0022717227187234,54,2014
8194088,Star Wars : Le Réveil de la Force,2015-12-16,648,3245,1344,13481,687,743,1444,3064,6194,11768,16832,11102,3424,1118,0.9997440995580187,55,2015
27059297,Joker,2019-10-09,784,6817,793,9253,96,96,213,422,882,2173,5770,10983,9139,3408,0.9725321870677353,56,2019
497324,Barry Lyndon,1975-12-18,815,12574,233,11183,46,81,125,335,730,1776,4645,7308,6300,3994,0.967907250718502,57,1975
17103116,Dunkerque,2017-07-19,702,9794,694,9738,106,168,452,1123,2646,5974,11049,10216,4236,1048,0.9661556756866327,58,2017
380343,Le Silence des agneaux,1991-01-30,797,8194,237,15530,69,51,125,290,935,3341,12622,23338,12886,4500,0.950661406693256,59,1991
365132,La Guerre des Étoiles,1977-05-25,778,2170,284,21288,165,127,261,551,1742,5059,15810,21778,11186,6304,0.9388123041416795,60,1977
454350,The Big Lebowski,1998-03-06,778,8670,365,13915,161,208,407,843,2005,5185,13532,20079,11972,5439,0.9175551885705201,61,1998
466346,Requiem for a Dream,2000-11-03,738,9631,509,13190,370,532,843,1629,3043,6981,16513,20380,11435,4825,0.916791312161017,62,2000
371239,Avatar,2009-12-16,630,8974,1228,11854,1794,2310,4103,7016,13340,22694,29232,23086,11455,9709,0.9162402110978003,63,2009
448558,The Thing,1982-06-25,799,7189,310,14986,48,60,111,281,686,1930,5920,9226,5632,2564,0.9143189927362709,64,1982
8463636,Birdman,2014-00-00,736,9114,703,12147,189,289,593,1310,2540,5534,11862,14923,7434,2019,0.9120146825613734,65,2014
12070512,Mademoiselle,2016-06-01,787,11505,237,7534,40,25,62,175,396,1177,3570,6863,4286,1444,0.9024861144088429,66,2016
26144468,Once Upon a Time... in Hollywood,2019-08-14,720,9503,544,8970,102,149,311,750,1705,3732,7370,8072,3574,765,0.8853421912140658,67,2019
21063455,La Forme de l'eau,2018-02-21,685,10727,591,8418,162,235,567,1237,2680,6169,10208,8180,2856,840,0.8766423973893515,68,2018
390881,Usual Suspects,1995-07-19,790,7954,311,13540,77,64,159,406,965,3061,10281,18989,12378,4580,0.8730352381762955,69,1995
376439,Voyage au bout de l'enfer,1978-12-08,830,10780,198,10139,21,32,59,132,340,964,2972,6082,5461,2830,0.8632830600399302,70,1978
494347,Jurassic Park,1993-06-11,756,3069,391,18389,168,231,518,1033,2987,8230,18772,20410,9813,5435,0.8587821995309204,71,1993
18431528,L'Île aux chiens,2018-04-11,770,10953,229,7624,26,24,47,155,554,1826,5589,8698,4465,1203,0.8489731200291081,72,2018
372138,La Ligne verte,1999-12-10,778,8732,283,12769,196,243,423,816,1806,4485,13709,23416,16842,8687,0.8468292964113175,73,1999
405444,No Country for Old Men,2007-11-09,778,9213,297,12110,89,129,246,567,1250,3342,9888,16304,9115,2572,0.8431152422202174,74,2007
473176,Memento,2000-10-11,763,9647,310,12087,91,95,217,577,1401,4135,11770,16738,8302,2498,0.8430264303915641,75,2000
435721,Black Swan,2010-12-17,717,7199,978,10749,358,530,984,2024,4085,9383,18779,18948,8437,2783,0.8398197288110116,76,2010
453901,Memories of Murder,2003-05-02,815,11118,217,9547,41,22,60,114,314,1081,3497,7339,5451,1876,0.8378442081476001,77,2003
442591,Full Metal Jacket,1987-06-26,797,7862,233,13076,43,74,158,354,1008,3490,11831,21039,12061,3773,0.8351222118439136,78,1987
484187,Le Prestige,2006-10-19,759,7714,358,13509,70,101,262,586,1555,4511,12277,17022,8738,2764,0.8349486022490961,79,2006
427132,The Dark Knight Rises,2012-07-19,685,2718,988,15805,260,405,942,2064,4212,10098,18068,15147,5827,1952,0.8306483675710069,80,2012
480573,Donnie Darko,2001-10-26,757,10046,309,11574,95,152,347,669,1533,3850,9645,12006,6304,2604,0.8291765635650957,81,2001
23227814,"3 Billboards, les panneaux de la vengeance",2018-01-17,760,9370,420,7555,46,47,154,317,762,2412,7153,11431,4806,998,0.8262185038882836,82,2018
391814,L'Armée des 12 singes,1995-12-08,777,7502,201,14089,66,107,219,430,1088,3417,10337,15879,7821,2362,0.8252979882711242,83,1995
484219,Moonrise Kingdom,2012-05-25,759,8099,491,11673,57,95,195,514,1250,3400,9513,12891,6376,2031,0.8165749132666917,84,2012
451324,Les Sept Samouraïs,1954-04-26,852,10958,179,8248,44,17,47,83,229,627,2034,4433,4645,3101,0.8163092854042381,85,1954
11082226,Logan,2017-03-01,716,5664,583,11115,103,152,365,846,2104,5490,11242,10944,4192,1089,0.8163008631784333,86,2017
